OBJECTID,MemorialHighwayName,Highway,Law,Description,LawWebLink,Biographies,GlobalID
1212,Sergeant Matthew R Soper Memorial Highway Memorial Highway,M-60,250-1106,"The portion of highway M-60 in Jackson County beginning at Fairway Drive and continuing west to Emerson Road shall be known as the ""Sergeant Matthew R. Soper Memorial Highway"".",250-1106,"On October 23, 2002, Sergeant Matthew R. Soper became a member of the Michigan National Guard 1461st Transportation Company, a unit that transports tanks in heavy equipment transport vehicles. He served his first tour of duty in Afghanistan and returned home in February 2005. In June 2006, Sergeant Soper was called up for service again and deployed to Iraq.

On June 6, 2007, in Bayji, Iraq, Sergeant Soper stopped to secure the long convoy behind him and suffered fatal wounds from an improvised explosive device. He was 25 years old. Sergeant Soper received the Bronze Star and the Purple Heart, among other awards and decorations.",{9FF47A78-FF43-4DE5-A643-82390BCDF76C}
1213,Lance Corporal Justin Ellsworth Memorial Highway,US-127,250-2050,"The portion of highway US-127 in Isabella County beginning at the exit to US-127 business route and extending north to the Pickard Road exit shall be named the ""Lance Corporal Justin Ellsworth Memorial Highway"".",250-2050,"According to committee testimony and the Honor the Fallen website, Justin Mark 
Ellsworth was born on July 26, 1984, and grew up in Wixom and Mt. Pleasant, Michigan. 
He had always wanted to be a Marine and enlisted in the Marine Corps shortly after 
graduating from Mt. Pleasant High School in 2003. He was assigned to Combat Services 
Support Battalion 1, Combat Service Support Group 11, 1st Force Service Support Group, 
I Marine Expeditionary Force, Camp Pendleton, California. He was trained in handling
explosives and was part of a reconnaissance force that helped to evacuate civilians from 
Fallujah in Iraq. 
On November 13, 2004, while conducting a dismounted combat patrol southeast of 
Fallujah, Lance Corporal Justin Ellsworth received a metal detector reading that indicated 
a possible improvised explosive device. Once positively identified, he sounded the warning 
for his fellow Marines to clear the area. Seconds later, the improvised explosive device was 
detonated by the enemy, mortally wounding Lance Corporal Justin Ellsworth. He was 20 
years old. 
Dedicating a portion of highway US-127 in Isabella County would be an appropriate way 
to honor his life, his dedication to his community, and his sacrifice for our country.",{9D2F9442-7F86-45C2-A199-10D71C91D4D8}
1214,Staff Sergeant Eugene H. E. Alex Memorial Highway,M-81,250-2075a,The portion of highway M-81 in Saginaw County beginning at the intersection with North Gera Road and extending east to the intersection with South Van Buren Road in Tuscola County shall be known as the “Staff Sergeant Eugene H. E. Alex Memorial Highway”.,250-2075a,"According to committee testimony and online sources, Staff Sergeant Eugene H. E. Alex 
was born on August 30, 1974. He grew up in Reese and later lived in Bay City. In May 
1996, recently married and working at a granary, Alex decided to enlist and joined the 
Army. He served at Fort Knox in Kentucky and Fort Hood in Texas before going to Fort 
Wainwright, Alaska, in September 2003. He was also stationed in Bosnia and Korea.
Staff Sergeant Alex was assigned to the 4th Squadron, 14th Calvary regiment, 172nd 
Stryker Brigade Combat Team at Fort Wainwright. Before leaving for Iraq in the fall of 
2005, he told his wife that if anything happened to him, he wanted her and the children to 
move to Reese.
About one year later, on August 30, 2006, a call came to the Alex home. Staff Sergeant 
Alex had been shot in the head by a sniper when his unit was attacked with small-arms fire 
in Baghdad. He was transported to Landstuhl Regional Medical Center, Germany, in 
critical condition. He died September 2, 2006. He was 32 years old.
Dedicating this section of M-81, located one block from where Staff Sergeant Eugene 
H. E. Alex grew up, would be an appropriate way to honor his life, his dedication, and his 
service to the state and our nation. ",{F9B7011F-EB23-4612-B075-A26738ABB375}
1215,Aretha L Franklin Memorial Highway,US-10,250-2083,"The portion of highway M-10 in the city of Detroit beginning at the intersection with Livernois Avenue and extending south to the intersection with highway I-94 shall be known as the ""Aretha L. Franklin Memorial Highway"".",250-2083,"According to committee testimony and news reports, Aretha L. Franklin was born on 
March 25, 1942 in Memphis Tennessee. Her father, the Reverend C. L. Franklin, moved 
the family to Detroit, Michigan in 1944. Aretha grew up singing gospel music in the choir 
of her father’s New Bethel Baptist Church in Detroit and soon became a star soloist. 
Gospel, however, was only part of her vocabulary. Jazz, blues, rock, and opera were all 
hers to command. Ms. Franklin said in an interview with the New York Times in 2007 that
her father had told her that she “would sing for kings and queens.” She added: “Fortunately
I’ve had the good fortune do so. And presidents.”
Ms. Franklin was dubbed the “Queen of Soul” in 1967 by Pervis “The Blues Man” Spann, 
after her performance at the Regal Theater in Chicago. She recalled, “[Spann] walked on 
stage one evening with a crown, and I went, ‘Whoooa, What is this?’” She embraced the 
newfound title, however, saying in 2015, “Who wouldn’t want to be called ‘Queen’?” 
During her decades-long career, Ms. Franklin had more than 20 number one R&B hits, 
nearly 50 Top 50 hits, singles sales that surpassed the $10 million mark, and 18 Grammy 
awards to her name.
She was the recipient of numerous honorary doctorates, including from Harvard, Princeton, 
Yale, Brown University, the University of Michigan, Wayne State University, BethuneCookman College, to name a few. She received a star on the Hollywood Walk of Fame in 
1979, received the Presidential Medal of Freedom in 2005, and was the first woman 
inducted into the Rock and Roll Hall of Fame in 1987. She was also a recipient of the 
Detroit News Michiganian of the Year Lifetime Achievement Award in 2018. The entire 
list of her honors and awards is too extensive to detail.
House Fiscal Agency HB 4060 as reported from committee Page 2 of 2
Ms. Franklin was also a supporter of civil rights and an advocate for social change. She 
was known to be a compassionate sponsor of Detroit area families in need of food, clothing, 
household items or financial assistance. Detroit Mayor Mike Duggan said, “Few people in 
the history of our city have been as universally loved or left as indelible a mark as Aretha... 
Throughout her extraordinary career, she earned the love—and, yes, the respect—of 
millions of people, not just for herself and for women everywhere, but for the city she loved 
so dearly and called home.” 
Aretha Louise Franklin died on August 16, 2018. She was 76 years old.
Dedicating a portion of Highway M-10 in the city of Detroit would be an appropriate way 
to honor a music and cultural icon who selflessly gave of her time, her vocal and pianistic 
talents, and her energy and resources to the citizens of Detroit, the state of Michigan, and 
the United States of America.",{7EC9D807-011E-4672-9415-74C0D8CF68D6}
1216,Trooper Rodger M Adams Memorial Highway,US-12,250-2085,"The portion of highway US-12 in Lenawee County beginning at highway M-52 and continuing west to Monagan Highway shall be known as the ""Trooper Rodger M. Adams Memorial Highway"".",250-2085,"According to committee testimony and the Fallen Trooper Memorial, shortly after 1:15 
a.m., on May 14, 1971, Trooper Adams and his partner were dispatched to investigate a
traffic crash. Approximately one-half mile west of Tipton Highway, an oncoming car 
skidded around a curve and crossed the centerline of the roadway. Trooper Adams swerved 
but was unable to avoid the oncoming car. The two vehicles met head on. Trooper Adams 
was killed in the crash, and his partner was seriously injured. The driver of the other vehicle 
was also killed. Trooper Adams was the twenty-fifth Michigan State Police officer to die 
in the line of duty. He was 26 years of age.
Dedicating a portion of US-12 and a portion of highway M-52 in Lenawee County would 
recognize Trooper Adams’ sacrifice and honor his commitment and dedication of service 
to the citizens of Michigan.",{0069264E-0B00-4DBB-B899-32FFB81C7638}
1217,Michigan Desert Storm Veterans Memorial Highway,M-52,250-2092,"The portion of highway M-52 in Shiawassee County that extends from the southern city limit of the city of Owosso to the northern city limit of the City of Perry shall be known as the ""Michigan Desert Storm Veterans Memorial Highway"".",250-2092,"On August 2, 1990, Iraqi President Saddam Hussein ordered the invasion of Kuwait. 
United States President George H.W. Bush immediately condemned the invasion, and on 
November 29, 1990, the United Nations Security Council authorized the use of “all 
necessary means” of force against Iraq if it did not withdraw. Early on the morning of 
January 17, 1991, the Persian Gulf War began with a massive United States air offensive 
known as Operation Desert Storm. 
From the first warning message sent by the United States Forces Command that tensions 
were escalating in the Persian Gulf region until the last troops were released in January 
1992, approximately 1,638 Michigan service members were deployed all over the world. 
They supported United Nations operations to restore the Republic of Kuwait to its original 
borders.
Several Michigan National Guard units participated in Operation Desert Shield, Operation 
Desert Storm, or both. Among them were the following:
• 207th Evacuation Hospital, Detroit
• Headquarters, 210th MP Battalion, Detroit
• 1776th MP Company, Detroit
• 1439th Engineer Detachment, Grayling
• 1440th Engineer Detachment, Grayling
• 745th Ordnance Detachment, Grayling
• 1073rd Maintenance Company, Greenville
• 1461st Transportation Company, Jackson
• 1009th Transportation Detachment, Lansing
• 460th Service and Support Company, Midland
• 144th MP Company, Owosso
• Headquarters, 146th MP Battalion, Owosso
• 1072nd Maintenance Company, Sturgis, Coldwater, Lansing
Dedicating a portion of highway M-52 as the Michigan Desert Storm Veterans Memorial 
Highway would be an appropriate way to honor the service and sacrifice of Michigan’s 
service members who served during this conflict.",{B75E6075-12D1-4151-A224-4D90BE73D528}
1600,Deputy Ernest W. Heikkila Memorial Highway,M-120,250.1104,Michigan Memorial Highway Act to dedicate the portion of highway M-120 in Muskegon County between E. Bard Road and 4th Street as the “Deputy Ernest W. Heikkila Memorial Highway.”,250-1104,"Before working in law enforcement, Deputy Ernest W. Heikkila served in the United States Navy and received the Good Conduct Medal and the Armed Forces Expeditionary Medal. He began his career with the Muskegon County Sheriff's Department in 1975, working throughout his 20 years of service as a patrol, investigations, and traffic officer. In December 1985, Deputy Heikkila survived after being shot in the line of duty and was awarded the Muskegon Exchange Club Blue and Gold Wounded in Service Award and the Michigan Association of Chiefs of Police Medal of Honor Award. On February 15, 1995, Deputy Ernest W. Heikkila was responding to a reported traffic crash when a volunteer firefighter responding to the same incident failed to stop at an intersection and struck Deputy Heikkila's police cruiser broadside. Deputy Heikkila died at the scene of the crash. He served with the Muskegon County Sheriff's Department for 20 years.",{F7460062-C454-4B6A-899F-4C42C8EB081D}
1601,Patrolman Bobby Lynn Williams Memorial Highway,M-34,250.1107,"The bill would amend the Michigan Memorial Highway Act to designate the portion of Highway M-34 in the city of Adrian beginning at the intersection of Highway M-34 and South Main Street and extending west to the intersection of Highway M-34 and South Madison Street as the ""Patrolman Bobby Lynn Williams Memorial Highway"".",250-1107,"Patrolman Bobby Lynn Williams started serving with the Adrian Police Department in 1973 at the age of 26. On June 30, 1975, Patrolman Williams stopped a vehicle involved in a robbery and kidnapping at a nearby gas station. The driver of the vehicle shot Patrolman Williams as he approached the car. While Patrolman Williams was able to return fire, striking a tire and forcing the perpetrator to abandon the car, he died on the scene.",{284B3866-6B7C-4331-B372-3F8177D6F912}
1602,Sergeant Kristopher J. Gould Memorial Bridge,M-13,250.109,"The bill would amend the Michigan Memorial Highway Act to designate the bridge on M-13 over Cheboyganing Creek in Bay County as the ""Sergeant Kristopher J. Gould Memorial Bridge"".",250-1090,"Sergeant Kristopher J. Gould was born on February 12, 1986, in Saginaw, Michigan. He attended Valley Lutheran High School and graduated in 2004. Before graduating, he joined the Army National Guard, and after graduation he joined the United States Army. Sergeant Gould served three deployments: from 2005 to 2006, he served with the 1 st Battalion, 125th Infantry regiment in Iraq; from 2008 to 2009, he served with the 3 rd Brigade Combat Team, 1 st Infantry Division in Afghanistan; and in 2011, he served as an infantryman with Company B, 2nd Battalion, 2 nd Infantry Regiment, 3rd Brigade Combat Team, 1st infantry Division, Task Force Duke. On February 27, 2011, Sgt. Gould was wounded fatally when insurgents attacked his unit with an improvised explosive device. For his service, Sgt. Gould received many awards and decorations, including the Afghanistan Campaign Medal, Iraq Campaign Medal, National Defense Service Medal, Global War on Terrorism Service Medal, Army Achievement Medal, Overseas Service Ribbon, Combat Infantryman Badge, North Atlantic Treaty Organization Medal, Army Commendation Medal, Armed Forces Reserve Medal for Mobilization, the Army Service Ribbon, the Bronze Star Medal, and the Purple Heart.",{3E7AD543-B00B-40B9-A3B0-2BD916FAB2BF}
1603,"""Trooper James R. DeLoach and Trooper Steven J. Niewiek Memorial Highway""",Scott Lake Rd.,250-1096,"The bill amends the Michigan Memorial Highway Act to designate Scott Lake Road in Oakland County as the ""Trooper James R. DeLoach and Trooper Steven J. Niewiek Memorial Highway"".",250-1096,"Troopers James DeLoach and Steven Niewiek were the 42nd and 43rd Michigan State Police officers, respectively, to die in the line of duty.1 They were both killed in a patrol car-train accident that occurred on Scott Lake Road in Waterford Township. The accident occurred on February 1, 1992, while the troopers were responding to a call for assistance at a nearby business.",{503C74A3-9412-4F11-AC57-78BAA6BABD6B}
1604,"""Army Specialist Deangelo Snow Memorial Highway""",I-75,250.1105,"The bill would amend the Michigan Memorial Highway Act to designate the portion of Highway I-75 in Saginaw County beginning at the Bridgeport exit 144B and extending north to the Buena Vista exit 149B as the ""Army Specialist Deangelo Snow Memorial Highway"".",250-1105,"Army Specialist Deangelo Snow was born on August 30, 1988, in Saginaw County, Michigan. He graduated Buena Vista High School in 2008 and joined the service one year later. Snow was assigned to the 526th Brigade Support Battalion, 2nd Brigade Combat Team, 101st Airborne Division at Fort Campbell, Kentucky, as a quartermaster and chemical equipment repairer. Snow died September 17, 2010, at FOB Wilson, Afghanistan, after sustaining wounds when insurgents attacked his vehicle with a rocket-propelled grenade. Snow received several awards and decorations for his service, including the Bronze Star Medal, the Purple Heart Medal, the National Defense Service Medal, Afghanistan Campaign Medal, the Global War on Terrorism Service Medal, the Army Service Ribbon, the NATO Medal, and the Combat Action Badge.",{400725DF-9A90-4803-A8D8-DF1BD44F7515}
1605,"""Officer Jessica Nagle-Wilson Memorial Highway"".",I-75,250.1035a,"The bill would amend the Michigan Memorial Highway Act to designate the portion of Highway I-75 in the City of Hazel Park between 8 Mile Road and 10 Mile Road as the ""Officer Jessica Nagle-Wilson Memorial Highway"".",250-1035a,"Officer Jessica Nagle-Wilson was born on May 23, 1976, in Warren, Michigan. She attended and graduated from Fitzgerald High School in 1994. She then attended Ferris State University, graduating with a BS in Criminal Justice in 2000, and then became a member of the Hazel Park Police Force. On July 28, 2002, Officer Nagle-Wilson responded to a disturbance call. As she exited her vehicle, a man standing on the porch shot and fatally wounded her with a shotgun. She served with the Hazel Park Police Force for one year and seven months and passed away at the age of 26.",{08974F77-9AB3-4950-866C-4D6541AF6C3C}
1606,“Sergeant Ryan J. Proxmire Memorial Highway.”,US-131,250.2073a,"The bill would amend the Michigan Memorial Highway Act to designate the portion of Highway US-131 in Kalamazoo County beginning at West U Avenue and continuing north to mile marker 35 as the ""Sergeant Ryan J. Proxmire Memorial Highway"".",250-2073a,"Sergeant Ryan J. Proxmire was born on October 7, 1981, in Kalamazoo, Michigan. He graduated Three Rivers High School in 1999. Proxmire served with the Kalamazoo County Sheriff's Office for over nine years as a road patrol officer. He was a field training officer, taser instructor, and subject control/defensive tactics instructor. Proxmire died on August 15, 2021, of a gunshot wound. He was one of several deputies attempting to apprehend a suspect who had fled from Portage police. The suspect opened fired during the pursuit, shooting Proxmire and causing his vehicle to go off the road. Proxmire was rushed to the hospital but died the following day.",{F1370BD5-4C10-4371-A4B9-3180DBEA0A75}
1607,Trooper Caleb Starr Memorial Highway,US-127,250-1067,"Sec. 67. (2) The portion of highway US-127 in Ingham County beginning at the Cedar Street exit and continuing north to the highway I-96 interchange shall be known as the ""Trooper Starr Memorial Highway"".",250-1067,"According to committee testimony, news reports, and the Michigan State Police Troopers Association, around 10 p.m. on Friday, July 10, 2020, Trooper Caleb H. Starr was driving westbound on Grand River Avenue, west of Nash Highway, in Boston Township in Ionia County, in response to an investigatory call in the area. His vehicle was struck by a Jeep SUV headed east on Grand River. The vehicle crossed into Trooper Starr’s lane of travel and struck his patrol vehicle head on. Trooper Starr was airlifted to Spectrum Health Butterworth Hospital in Grand Rapids, where he was treated for three weeks. He died of his injuries on Friday, July 31, 2020. Trooper Caleb H. Starr was the fifty-fourth Michigan State Police trooper to die in the line of duty. He was 33 years old.",{DC6B4F81-E56B-4750-A494-DDD9F390981E}
1612,Kevin D. White Memorial Highway,I-94,250-1110,"The portion of highway I-94 in Benton Charter Township beginning at the interchange of highway I-94 and highway I-196 and extending south to the Napier Avenue exit shall be known as the ""Kevin D. White Memorial Highway"".",250-1110,"According to committee testimony and news reports, Kevin D. White was born on February 1, 
1971, to Wesley Singleton, Jr., and Earlene White in Detroit, Michigan. He attended school in 
the Benton Harbor Area School District, graduating from Benton Harbor High School in 1989. 
He married Yolanda Jenkins in 1999.
Kevin loved his community and served in many capacities, which led to his being elected as 
Benton Township supervisor in November 2016 after an initial appointed to the office in March 
2015. Supervisor White served his community with diligence and with passion. In 2010, he 
was offered and accepted a position with the Michigan Department of Transportation.
On the morning of October 23, 2019, around 7:15 a.m., Supervisor White was driving an 
MDOT vehicle on the right shoulder of I-94. He exited the vehicle to pick up a large piece of 
debris when he was struck by one of two tires that came off a semi-truck trailer that was passing 
by. Supervisor White was transported to Spectrum Lakeland Hospital in St. Joseph, where he 
succumbed to his injuries. He was the first Michigan Department of Transportation worker to 
die on the job since 2008. He was 48 years old. 
Dedicating a portion of I-94 in Benton Charter Township to the memory of Kevin D. White 
would be an appropriate way to honor his life, his dedication to his community, and his sacrifice 
to our state.",{70F19ACC-C534-43B9-A666-35272E27E824}
1999,Firefighter Coleman A. Tate Memorial Highway,I-94,250.2070a,Michigan Highway Memorial Act to designate highway I-94 in Wayne County between M-53 and Huntington Avenue as the “Firefighter Coleman A. Tate Memorial Highway.”,250-2070a,"According to committee testimony and online sources, Coleman A. Tate was born to Donnie and Joe Tate on December 30, 1952. He attended Denby High School in Detroit. He began his service with the Detroit Fire Department in 1977 and was assigned to Ladder Company 31 on Detroit’s East Side. He took pride in being a firefighter and in giving back to his city and his community through his service. On the evening of February 17, 1981, while riding on a fastmoving fire engine in response to an emergency call, Firefighter Tate had to stand up and use his hands to strap on his air tank and mask. He was thrown off balance, fell backward from the truck due to the 35-pound tank on his back, and struck his head on the pavement. He died as a result of his injuries on February 21, 1981. He was 28 years old. Dedicating a portion of I-94 in Wayne County would be an appropriate way to recognize and honor Firefighter Coleman A. Tate’s sacrifice in the line of duty and his service to the city of Detroit and the state of Michigan.",{9F389C80-277B-419E-8731-3D1583D11EEA}
2000,Veterans' Memorial Highway,M-32,250.1057,"The part of highway M-32 between Ripley Boulevard and Bagley Street in the city of Alpena shall be known as the ""Veterans' Memorial Highway"".",250-1057,,{47192FC2-05D4-417B-BE5B-30EA707E62F3}
2001,Senator Tom Casperson Memorial Bridge,US-2,250.1008c,"This bill designates the bridge on Highway US-2 over the Escanaba River in Delta County as the ""Senator Tom Casperson Memorial Bridge"".",250-1008c,"This bill designates the bridge on Highway US-2 over the Escanaba River in Delta County as the ""Senator Tom Casperson Memorial Bridge"".",{D094FB07-8799-49CD-AC1F-EA11428215FC}
2002,Julie Plawecki Memorial Highway,US-24,250.1008c,"The bill designates the portion of Highway US-24 in Wayne County beginning at the intersection with M-153 and extending north to the intersection with Warren Avenue as the ""Julie Plawecki Memorial Highway"".",250-1008c,"The bill designates the portion of Highway US-24 in Wayne County beginning at the intersection with M-153 and extending north to the intersection with Warren Avenue as the ""Julie Plawecki Memorial Highway"".",{217FDA3D-F832-4426-A102-46B49E0599CD}
2003,Army Sergeant First Class Michael Cathcart Memorial Highway,M-15,250.2084,"The portion of highway M-15 beginning at the intersection of highway M-15 and Cass Avenue Road in Portsmouth Charter Township and extending north to the intersection of M-15 and Ridge Road in the city of Bay City shall be known as the ""Army Sergeant First Class Michael Cathcart Memorial Highway.""",250-2084,"Sergeant 1st Class Michael A. Cathcart was born in Bay City, Michigan. He graduated from Bay City Central High School and enlisted in the Army in 2001 as a Fire Support Specialist. After he completed Army Basic Combat and Advanced Individual Training, he reported to the 101st Airborne Division. He served in this division for five years. He then volunteered for Special Forces in 2007 and was assigned two years later to the 3rd Battalion, 3rd Special Forces Group as senior engineer sergeant at Fort Bragg, North Carolina. On November 14, 2014, Sergeant 1st Class Michael A. Cathcart suffered fatal injuries in a small arms skirmish during a dismounted combat operation in the Kunduz Province of Afghanistan. He was 31 years old. Cathcart was highly decorated; his decorations included three Bronze Star Medals, the Purple Heart Medal, and four Army Commendation Medals",{699A0D66-4B27-4013-B12E-076ED4DA5E44}
2004,Bataan and Corregidor Veterans Memorial Highway,I-69,250.1032,"The portion of highway I-69 between Center Road and Belsay Road in the city of Burton shall be known as the ""Bataan and Corregidor Veterans Memorial Highway"".",250-1032,"According to committee testimony and the American Defenders of Bataan and Corregidor Memorial Society, a conflict involving 100 million people and at least 30 countries occurred in the Philippine Islands during World War II a few months after the surprise attack on the United States naval forces stationed at Pearl Harbor on December 7, 1941. After months of brutal fighting between Japanese forces and the United States and its allies, on April 9, 1942, 10,000 Americans became prisoners of war (POWs) with the surrender of the Bataan Peninsula in the Philippines. The Japanese Army forcibly marched nearly 75,000 military POWs on a deadly 65-mile trek that would become known as the Bataan Death March. The Bataan Death March resulted in the deaths of approximately 9,000 Filipinos and more than 1,000 Americans and the torture and brutal treatment of tens of thousands of prisoners. In early May 1942, 11,500 Americans were surrendered on Corregidor, a fortress island in Manila Harbor. The surrender was the largest in United States military history. Over 26,000 Americans were held as POWs. Nearly 11,000 died in POW camps, aboard “hell ships,” or as slave laborers. It is believed only 15,000 returned home to their families. Michigan had 634 who were POWs of Imperial Japan.  ",{DB2727B4-9AC6-49BE-BC88-2EFE58F543F6}
2005,BEN LAUREN AND DON RILING MEMORIAL HIGHWAY,M-35,250.1008c,To designate all of the portion of highway M-35 that is in Forsyth Township as the “Ben Lauren and Don Riling Memorial Highway.”,250-1008c,"Benjamin Lauren was a captain at the Forsyth Township Fire Department, a volunteer department. On March 13, 2020, he was injured fatally while fighting a structure fire. Don Riling was a professional firefighter with the United States Air Force and a firefighter with the Forsyth Township Fire Department. On March 19, 1988, he died while fighting a fire in Forsyth Township.",{3C0C9A89-5A92-4493-9C3D-A1B604F70E92}
2006,Darryl M. Rantanen Memorial Highway,US-41,250.1008b,"Michigan Memorial Highway Act to designate highways US-2 and US-41 in Delta County, from the eastern limit of Hyde to the western limit of Bark River, as the “Darryl M. Rantanen Memorial Highway.”",250-1008b,"On May 27, 1974, Michigan State Police (MSP) Trooper Darryl M. Rantanen and his partner pursued a stolen car after being alerted by the Escanaba Police. As Trooper Rantanen's partner attempted to pull alongside the stolen car, the driver of the stolen car swerved across the centerline and forced the troopers' car off the road. The car rolled over and its top struck a tree, which caused serious injuries to Trooper Rantanen and his partner. Trooper Rantanaen died from his injuries later that day. He was the 29th MSP Trooper to die in the line of duty.",{6E147FA0-74CB-4748-A64C-5E5838BCC24C}
2007,Officer Mason Samborski Memorial Highway,I-96,250.1051a,"  The portion of highway I-96 in the city of Howell shall be known as the ""Officer Mason Samborski Memorial Highway"".",250-1051a,"Public Safety Officer Mason Samborski had worked for the Oak Park Police Department for four years when he was shot and killed at the age of 28 on December 28, 2008. While Officer Samborski was conducting an investigation following a routine traffic stop north of Detroit, the suspect fled the scene, leading to a struggle and Officer Samborski's death. When Oak Park built a new public safety building several years ago, it was named in honor of Officer Samborski and another officer who had been killed in the line of duty. More recently, when the Oak Park Police Department adopted its first dog for the department's new K-9 patrol unit, the Belgian Malinois was named after Officer Samborski",{07E0CA9E-EECD-425F-8163-7AAAF51C2812}
2008,Officer Scott Flahive Memorial Highway,US-31,250.1011c,"  The portion of highway US-31, also known as Beacon Boulevard, beginning at the intersection with Robbins Road in the city of Grand Haven and continuing north to the intersection with Jackson Street, shall be known as the ""Officer Scott Flahive Memorial Highway"".",250-1011c,"On December 13, 1994, Officer Scott Flahive was fatally shot on Beacon Boulevard while trying to apprehend an escaped inmate of the Ottowa County Jail.  He was 28 years old and had served as a Grand Haven Public Safety Officer for four years prior to his death. In memory of Officer Scott Flahive, the community hosts the annual Scott Flahive Memorial Cruise, which raises money to support a scholarship fund for criminal justice students",{538EF121-BE1B-477D-9B48-2AB1679A409F}
2009,PFC Kenneth Coates Memorial Interchange,I-75,250.2089,"The highway interchange at highway I-75 and Cook Road shall be known as the ""PFC Kenneth Coates Memorial Interchange"".",250-2089,"Private First Class Kenneth William Coates was born on December 4, 1947. He attended West Branch High School and graduated in 1967. After graduation, he enlisted in the United States Army as an infantryman with the 25th Infantry Division, 2nd Battalion, 12th Infantry, C Company. In January 1968, he was deployed to Binh Duong Province, South Vietnam. On February 5, 1968, while serving on his tour of duty, PFC Kenneth W. Coates was killed in a ground skirmish. He was 20 years old at the time. For his service, PFC Coates was awarded numerous awards and recognitions, including the Purple Heart, the Combat Infantryman Badge, the National Defense Service Medal, the Vietnam Campaign Medal, the Vietnam Service Medal, the Distinguished Unit Citation, the Vietnam Gallantry Cross, and the Good Conduct Medal.",{A009F6C9-3EA7-4580-A44F-7053463FA935}
2010,Trooper Manuel H. Fields Memorial Highway,I-94,250.2091,"The bill would amend the Michigan Memorial Highway Act to designate the portion of I-94 in Jackson County between the US-127 South interchange and Hawkins Road as the ""Trooper Manuel H. Fields Memorial Highway"".",250-2091,"On August 27, 1994, State Trooper Manuel H. Fields reported to an overtime traffic enforcement assignment at the Jackson Post after previously completing an assignment as an instructor for the 109th Trooper Recruit School. That afternoon, Trooper Fields conducted a traffic stop on the north shoulder of westbound I-94, east of US-127. During the traffic stop, another westbound vehicle struck Trooper Fields' cruiser, then the stopped vehicle, and finally Trooper Fields. The driver of the vehicle that struck Trooper Fields fled the scene and eventually called in the collision. The driver eventually was charged with negligent homicide and leaving the scene of a fatal accident. As a result of his injuries, Trooper Fields was pronounced dead at the scene of the collision. He was 34 years old at the time of his death. Trooper Fields was the 46th Michigan State Police Officer to die in the line of duty.",{F8BA98A9-1061-4083-BFE0-E87CD3BB2183}
2011,Samuel R. Costello Memorial Highway,US-41,250.2084,"The bill would amend the Michigan Memorial Highway Act to designate the portion of Highway US-41 in Menominee County beginning at the norther city limits of the city of Menominee and continuing north to the village of Daggett as the ""Samuel R. Costello Memorial Highway"".",250-2086,"Samuel R. Costello was born on July 15, 1930. After graduating from Menominee High School, he enlisted in the United States Air Force. He completed basic training and was stationed in Tokyo in January 1950 until his deployment to the Philippines that same year. On December 22, 1950, the Department of Defense informed James Costello, Samuel's father, that Samuel was reported missing in flight from Okinawa to Clark Air Force Base in the Philippines. His flight reportedly crashed on Mount Tabayoc in Luzon, Philippines. He was 20 years old at the time of his presumed death.",{327E1139-31CD-4C4E-9853-AFB8CE2483BA}
2012,"""Peter A. Pettalia Memorial Highway""",US-23,250.1011a,"The bill would amend the Michigan Memorial Highway Act to designate the portion of highway US-23 in Presque Isle County between Maple Drive and Misiak Highway as the ""Peter A. Pettalia Memorial Highway"".",250-1011a,"Former Michigan Representative Peter A. Pettalia was killed on September 12, 2016, in a motorcycle accident in northern Montmorency County. He was serving his third term in the Michigan House of Representatives, and was the Chairperson of the Transportation and Infrastructure Committee and the Tourism and Outdoor Recreation Committee. Mr. Pettalia represented Michigan's 106th House District, which includes Alcona, Alpena, Iosco, Presque Isle, and part of Cheboygan Counties. At the time of his death, he resided in Presque Isle Township, in Presque Isle County. Previously, Mr. Pettalia served as a Presque Isle Township supervisor for 16 years and a volunteer firefighter for the East Grand Lake Fire Department for 15 years.",{4359F09F-6E2B-4B13-B91F-C47EA2BE363E}
